ERM Mass,Voltage (V),Current (mA),Peak Frequency,Depth Measured (mm),Total Depth (mm),Power (mW)
5,7.4,176,108,-8.4,51.8,1302
5,7.4,162,115,-2.5,57.7,1199
5,7.4,162,116,5.9,66.1,1199
5,7.4,162,117,3.5,63.7,1199
5,7.4,162,119,-2.2,58,1199
5,6.4,151,97,-4.9,55.3,966
5,6.4,131,104,-1.9,58.3,838
5,6.4,134,103,-8.2,52,858
5,6.4,132,103,5.8,66,845
5,6.4,130,112,-6.1,60.2,832
5,5.4,114,86,-8.2,52,616
5,5.4,101,91,-3.5,56.7,545
5,5.4,100,91,6.3,66.5,540
5,5.4,97,92,11.7,71.9,524
5,5.4,99,92,7.6,67.8,535
5,4.4,88,73,-17,43.2,387
5,4.4,74,79,-9,51.2,326
5,4.4,71,78,-7.9,52.3,312
5,4.4,74,79,-6,54.2,326
5,4.4,71,78,-7.7,52.5,312
5,3.4,67,57,-30,30.2,228
5,3.4,56,61,-25.6,34.6,190
5,3.4,49,63,-17.9,42.3,167
5,3.4,51,62,-20.9,39.3,173
5,3.4,54,61,-24.7,35.5,184
3,7.4,94,143,-9,51.2,696
3,7.4,92,144,-9.9,50.3,681
3,7.4,91,146,-12.9,47.3,673
3,7.4,89,145,-13.5,46.7,659
3,7.4,89,144,-12.3,47.9,659
3,7.15,88,139,-8.6,51.6,629
3,7.15,85,140,-12,48.2,608
3,7.15,87,140,-12.2,48,622
3,7.15,86,141,-13.4,46.8,615
3,7.15,89,139,-8,52.2,636
3,6.5,77,129,-12.3,47.9,501
3,6.5,73,129,-14.7,45.5,475
3,6.5,72,129,-16.4,43.8,468
3,6.5,73,129,-15.4,44.8,475
3,6.5,77,128,-8,52.2,501
3,6,67,120,-18.3,41.9,402
3,6,64,120,-14.8,45.4,384
3,6,64,120,-16.9,43.3,384
3,6,63,120,-19.8,40.4,378
3,6,66,120,-16.8,43.4,396
3,4.8,47,99,-20.8,39.4,226
3,4.8,46,99,-25.5,34.7,221
3,4.8,46,99,-21.1,39.1,221
3,4.8,46,99,-23.7,36.5,221
3,4.8,46,99,-19,41.2,221
3,8.5,114,159,-1.3,58.9,969
3,8.5,111,157,-3.7,56.5,944
3,8.5,111,156,-2,58.2,944
3,8.5,111,157,-1.4,58.8,944
3,8.5,111,158,1.2,61.4,944
3,9.5,129,176,-4.6,55.6,1226
3,9.5,130,175,9.1,69.3,1235
3,9.5,130,176,5.6,65.8,1235
3,9.5,129,177,5.5,65.7,1226
3,9.5,130,177,0,60.2,1235
1,12,94,245,-20.6,39.6,1128
1,12,83,237,-19.8,40.4,996
1,12,88,235,-19.4,40.8,1056
1,12,88,237,-17.95,42.25,1056
1,12,88,233,-24.2,36,1056
1,5.6,42,118,-36.3,23.9,235
1,5.6,41,118,-37.4,22.8,230
1,5.6,41,118,-35.9,24.3,230
1,5.6,42,118,-36.7,23.5,235
1,5.6,42,119,-35.65,24.55,235
1,8.1,60,169,-30.6,29.6,486
1,8.1,59,170,-28.6,31.6,478
1,8.1,60,169,-27,33.2,486
1,8.1,59,170,-28.3,31.9,478
1,8.1,60,169,-27.1,33.1,486
1,10,70,203,-25.1,35.1,700
1,10,71,203,-23,37.2,710
1,10,71,202,-21.9,38.3,710
1,10,73,201,-21.3,38.9,730
1,10,73,202,-22.2,38,730
1,12.7,94,248,-24.2,36,1194
1,12.7,99,247,-15.8,44.4,1257
1,12.7,95,248,-16.2,44,1207
1,12.7,98,248,-20.3,39.9,1245
1,12.7,100,246,-15.8,44.4,1270
5,12.7,319,164,47.7,107.9,4051
