Fixed parameters,,,,,,,,,Constants:,4 fin collar,Brass Probe 42.0g (5 mass),Motor ERM Mass 5,Motor Depth is Max
,Fins,4,,,,,,This is not force,,,,,
,Shell Material,Brass,,,,,,Corrected in code,,4 fin collar ,42.1 (1 mass) ,,
,Total mass,,,,,,,,,4 fin collar,42.4 (3 Mass),,
ERM Mass (g?),Voltage (V),Current (mA),Peak Frequency,Omega (rad/s),Depth Measured (mm),Total Depth (mm),Final Power (mW),Force,,,,,
4,9.00,186,134,842,6.1,66.3,1674,,,,,,
4,10.50,233,150,942,11.8,72,2447,,,,,,
4,10.50,232,154,968,12.3,72.5,2436,,,,,,
4,10.50,230,150,942,11.4,71.6,2415,,,,,,
4,10.50,230,150,942,10.7,70.9,2415,,,,,,
4,10.50,229,149,936,11.2,71.4,2405,,,,,,
4,11.70,270,160,1005,17.6,77.8,3159,,,,,,
4,11.70,272,162,1018,15.2,75.4,3182,,,,,,
4,11.70,267,162,1018,14.3,74.5,3124,,,,,,
4,11.70,268,161,1012,15.3,75.5,3136,,,,,,
4,11.70,265,163,1024,15,75.2,3101,,,,,,
4,12.70,293,173,1087,17.7,77.9,3721,,,,,,
4,12.70,295,170,1068,20.4,80.6,3747,,,,,,
4,12.70,292,172,1081,18.7,78.9,3708,,,,,,
4,12.70,293,173,1087,19.2,79.4,3721,,,,,,
4,12.70,292,171,1074,19.5,79.7,3708,,,,,,
4,7.80,156,121,760,5.1,65.3,1217,,,,,,
4,7.80,155,122,767,4,64.2,1209,,,,,,
4,7.80,153,121,760,2.1,62.3,1193,,,,,,
4,7.80,153,121,760,0.7,60.9,1193,,,,,,
4,7.80,155,121,760,1.4,61.6,1209,,,,,,
4,5.80,99,96,603,-9.1,51.1,574,,,,,,
4,5.80,100,95,597,-10.6,49.6,580,,,,,,
4,5.80,101,95,597,-10.6,49.6,586,,,,,,
4,5.80,99,95,597,-10.5,49.7,574,,,,,,
4,5.80,100,96,603,-11,49.2,580,,,,,,
