Fixed parameters,,,,,,,,,Constants:,4 fin collar,Brass Probe 42.0g (5 mass),Motor ERM Mass 5,Motor Depth is Max
,Fins,4,,,,,,This is not force,,,,,
,Shell Material,Brass,,,,,,Corrected in code,,4 fin collar ,42.1 (1 mass) ,,
,Total mass,,,,,,,,,4 fin collar,42.4 (3 Mass),,
ERM Mass (g?),Voltage (V),Current (mA),Peak Frequency,Omega (rad/s),Depth Measured (mm),Total Depth (mm),Final Power (mW),Force,,,,,
1,6.00,40,128,804,-42.8,17.4,240,,,,,,
1,6.00,40,128,804,-42.3,17.9,240,,,,,,
1,6.00,40,128,804,-43.7,16.5,240,,,,,,
1,6.00,40,128,804,-41.9,18.3,240,,,,,,
1,6.00,40,128,804,-40.5,19.7,240,,,,,,
1,0.00,0,0,0,-48.0,11.02,0,,,,,,
1,0.00,0,0,0,-48.0,11.02,0,,,,,,
1,0.00,0,0,0,-48.0,11.02,0,,,,,,
1,0.00,0,0,0,-48.0,11.02,0,,,,,,
1,0.00,0,0,0,-48.0,11.02,0,,,,,,
1,0.00,0,0,0,-48.0,11.02,0,,,,,,
3,0.00,0,0,0,-48.0,11.02,0,,,,,,
3,0.00,0,0,0,-48.0,11.02,0,,,,,,
3,0.00,0,0,0,-48.0,11.02,0,,,,,,
3,0.00,0,0,0,-48.0,11.02,0,,,,,,
3,0.00,0,0,0,-48.0,11.02,0,,,,,,
3,0.00,0,0,0,-48.0,11.02,0,,,,,,
5,0.00,0,0,0,-48.0,11.02,0,,,,,,
5,0.00,0,0,0,-48.0,11.02,0,,,,,,
5,0.00,0,0,0,-48.0,11.02,0,,,,,,
5,0.00,0,0,0,-48.0,11.02,0,,,,,,
5,0.00,0,0,0,-48.0,11.02,0,,,,,,
5,0.00,0,0,0,-48.0,11.02,0,,,,,,
