time_s,displacement_m
0.0,0.0004
0.01668197579154751,0.004
0.0333639515830948,0.0036
0.05004592737464186,0.006
0.06672790316618915,0.0052
0.08340987895773644,0.0072
0.10009185474928373,0.0076
0.11677383054083079,0.0068000000000000005
0.1334558063323783,0.008399999999999998
0.1501377821239256,0.008399999999999998
0.16681975791547243,0.008
0.18350173370701994,0.0092
0.20018370949856723,0.0088
0.21686568529011452,0.0092
0.23354766108166203,0.0096
0.2502296368732093,0.0096
0.2669116126647564,0.0104
0.2835935884563032,0.0108
0.30027556424785096,0.0116
0.316957540039398,0.0116
0.3336395158309453,0.012
0.3503214916224924,0.0116
0.36700346741403966,0.012
0.38368544320558695,0.01
0.40036741899713446,0.0128
0.41704939478868175,0.0128
0.43373137058022904,0.0128
0.4504133463717763,0.013600000000000001
0.4670953221633227,0.0132
0.48377729795487046,0.013600000000000001
0.5004592737464182,0.013999999999999999
0.517141249537965,0.0144
0.5338232253295123,0.0144
0.5505052011210592,0.0144
0.5671871769126069,0.0148
0.5838691527041542,0.0144
0.6005511284957015,0.0144
0.6172331042872483,0.0148
0.6339150800787956,0.0152
0.6505970558703429,0.0152
0.6672790316618906,0.015600000000000001
0.6839610074534379,0.0152
0.7006429832449843,0.0152
0.7173249590365316,0.013600000000000001
0.7340069348280789,0.016
0.7506889106196266,0.016
0.7673708864111739,0.015600000000000001
0.7840528622027212,0.016399999999999998
0.8007348379942685,0.016399999999999998
0.8174168137858158,0.0168
0.834098789577363,0.0168
0.8507807653689099,0.0172
0.8674627411604576,0.0172
0.8841447169520049,0.0172
0.9008266927435522,0.0172
0.917508668535099,0.0176
0.9341906443266468,0.0176
0.9508726201181936,0.018000000000000002
0.9675545959097409,0.018000000000000002
0.9842365717012882,0.018000000000000002
1.000918547492835,0.0168
1.0176005232843828,0.0144
1.03428249907593,0.018000000000000002
1.0509644748674773,0.0184
1.0676464506590246,0.0184
1.0843284264505715,0.018799999999999997
1.1010104022421188,0.018799999999999997
1.1176923780336665,0.018799999999999997
1.1343743538252142,0.018799999999999997
1.151056329616761,0.018799999999999997
1.1677383054083084,0.0184
