time_s,displacement_pixels,displacement_cm,match_score
8.340987895773628313e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.941088557243347168e-01
8.507807653689101191e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.939384460449218750e-01
8.674627411604572957e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.937393069267272949e-01
8.841447169520045835e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.934911131858825684e-01
9.008266927435518712e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.933103322982788086e-01
9.175086685350991589e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.929728507995605469e-01
9.341906443266463356e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.925382733345031738e-01
9.508726201181936233e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.923992753028869629e-01
9.675545959097409110e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.919671416282653809e-01
9.842365717012881987e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.918371438980102539e-01
1.000918547492835486e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.919379353523254395e-01
1.017600523284382552e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.924118518829345703e-01
1.034282499075929840e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.925410151481628418e-01
1.050964474867477128e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.930140972137451172e-01
1.067646450659024415e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.938042759895324707e-01
1.084328426450571703e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.941504001617431641e-01
1.101010402242118991e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.944683909416198730e-01
1.117692378033666278e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.945401549339294434e-01
1.134374353825213344e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.945798516273498535e-01
1.151056329616760632e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.947280883789062500e-01
1.167738305408307919e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.948392510414123535e-01
1.184420281199855207e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.949433803558349609e-01
1.201102256991402495e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.950978755950927734e-01
1.217784232782949783e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.949979186058044434e-01
1.234466208574497070e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.951089620590209961e-01
1.251148184366044358e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.951261878013610840e-01
1.267830160157591424e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.952369332313537598e-01
1.284512135949138711e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.952257871627807617e-01
1.301194111740685999e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.952859282493591309e-01
1.317876087532233287e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.953563213348388672e-01
1.334558063323780575e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.952425360679626465e-01
1.351240039115327862e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.950042366981506348e-01
1.367922014906875150e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.946064949035644531e-01
1.384603990698422216e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.942083954811096191e-01
1.401285966489969503e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.934880137443542480e-01
1.417967942281516791e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.932464361190795898e-01
1.434649918073064079e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.931753277778625488e-01
1.451331893864611366e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.933101534843444824e-01
1.468013869656158654e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.936001300811767578e-01
1.484695845447705942e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.937372207641601562e-01
1.501377821239253008e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.935818314552307129e-01
1.518059797030800295e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.934143424034118652e-01
1.534741772822347583e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.934308528900146484e-01
1.551423748613894871e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.933870434761047363e-01
1.568105724405442158e+00,-1.000000000000000000e+00,-4.000000000000000083e-02,9.826344847679138184e-01
1.584787700196989446e+00,-1.000000000000000000e+01,-4.000000000000000222e-01,8.896816968917846680e-01
1.601469675988536734e+00,-9.000000000000000000e+00,-3.599999999999999867e-01,8.337100148200988770e-01
1.618151651780083800e+00,-1.500000000000000000e+01,-5.999999999999999778e-01,8.160327672958374023e-01
1.634833627571631087e+00,-1.300000000000000000e+01,-5.200000000000000178e-01,7.966199517250061035e-01
1.651515603363178375e+00,-1.800000000000000000e+01,-7.199999999999999734e-01,7.862147688865661621e-01
1.668197579154725663e+00,-1.900000000000000000e+01,-7.600000000000000089e-01,7.795136570930480957e-01
1.684879554946272950e+00,-1.700000000000000000e+01,-6.800000000000000488e-01,7.646566629409790039e-01
1.701561530737820238e+00,-2.100000000000000000e+01,-8.399999999999999689e-01,7.575802206993103027e-01
1.718243506529367526e+00,-2.100000000000000000e+01,-8.399999999999999689e-01,7.514024376869201660e-01
1.734925482320914591e+00,-2.000000000000000000e+01,-8.000000000000000444e-01,7.437160015106201172e-01
1.751607458112461879e+00,-2.300000000000000000e+01,-9.200000000000000400e-01,7.430357336997985840e-01
1.768289433904009167e+00,-2.200000000000000000e+01,-8.800000000000000044e-01,7.322825193405151367e-01
1.784971409695556455e+00,-2.300000000000000000e+01,-9.200000000000000400e-01,7.215709686279296875e-01
1.801653385487103742e+00,-2.400000000000000000e+01,-9.599999999999999645e-01,7.201982140541076660e-01
1.818335361278651030e+00,-2.400000000000000000e+01,-9.599999999999999645e-01,7.310535907745361328e-01
1.835017337070198318e+00,-2.600000000000000000e+01,-1.040000000000000036e+00,7.400521039962768555e-01
1.851699312861745383e+00,-2.700000000000000000e+01,-1.080000000000000071e+00,7.498413324356079102e-01
1.868381288653292671e+00,-2.900000000000000000e+01,-1.159999999999999920e+00,7.534998655319213867e-01
1.885063264444839959e+00,-2.900000000000000000e+01,-1.159999999999999920e+00,7.618260383605957031e-01
1.901745240236387247e+00,-3.000000000000000000e+01,-1.199999999999999956e+00,7.695319652557373047e-01
1.918427216027934534e+00,-2.900000000000000000e+01,-1.159999999999999920e+00,7.748790383338928223e-01
1.935109191819481822e+00,-3.000000000000000000e+01,-1.199999999999999956e+00,7.843711376190185547e-01
1.951791167611029110e+00,-2.500000000000000000e+01,-1.000000000000000000e+00,7.836920022964477539e-01
1.968473143402576397e+00,-3.200000000000000000e+01,-1.280000000000000027e+00,7.936777472496032715e-01
1.985155119194123463e+00,-3.200000000000000000e+01,-1.280000000000000027e+00,7.995980381965637207e-01
2.001837094985670973e+00,-3.200000000000000000e+01,-1.280000000000000027e+00,7.987880110740661621e-01
2.018519070777218261e+00,-3.400000000000000000e+01,-1.360000000000000098e+00,7.864514589309692383e-01
2.035201046568765104e+00,-3.300000000000000000e+01,-1.320000000000000062e+00,7.865399122238159180e-01
2.051883022360312392e+00,-3.400000000000000000e+01,-1.360000000000000098e+00,7.848725318908691406e-01
2.068564998151859680e+00,-3.500000000000000000e+01,-1.399999999999999911e+00,7.831181883811950684e-01
2.085246973943406967e+00,-3.600000000000000000e+01,-1.439999999999999947e+00,7.807666659355163574e-01
2.101928949734954255e+00,-3.600000000000000000e+01,-1.439999999999999947e+00,7.817360162734985352e-01
2.118610925526501543e+00,-3.600000000000000000e+01,-1.439999999999999947e+00,7.820948958396911621e-01
2.135292901318048830e+00,-3.700000000000000000e+01,-1.479999999999999982e+00,7.764988541603088379e-01
2.151974877109596118e+00,-3.600000000000000000e+01,-1.439999999999999947e+00,7.757433652877807617e-01
2.168656852901143406e+00,-3.600000000000000000e+01,-1.439999999999999947e+00,7.771912217140197754e-01
2.185338828692690694e+00,-3.700000000000000000e+01,-1.479999999999999982e+00,7.732201814651489258e-01
2.202020804484237981e+00,-3.800000000000000000e+01,-1.520000000000000018e+00,7.698173522949218750e-01
2.218702780275785269e+00,-3.800000000000000000e+01,-1.520000000000000018e+00,7.665207386016845703e-01
2.235384756067332557e+00,-3.900000000000000000e+01,-1.560000000000000053e+00,7.631493806838989258e-01
2.252066731858879844e+00,-3.800000000000000000e+01,-1.520000000000000018e+00,7.617101073265075684e-01
2.268748707650426688e+00,-3.800000000000000000e+01,-1.520000000000000018e+00,7.624910473823547363e-01
2.285430683441973976e+00,-3.400000000000000000e+01,-1.360000000000000098e+00,7.618570327758789062e-01
2.302112659233521264e+00,-4.000000000000000000e+01,-1.600000000000000089e+00,7.685615420341491699e-01
2.318794635025068551e+00,-4.000000000000000000e+01,-1.600000000000000089e+00,7.769436240196228027e-01
2.335476610816615839e+00,-3.900000000000000000e+01,-1.560000000000000053e+00,7.787113189697265625e-01
2.352158586608163127e+00,-4.100000000000000000e+01,-1.639999999999999902e+00,7.830063700675964355e-01
2.368840562399710414e+00,-4.100000000000000000e+01,-1.639999999999999902e+00,7.875530719757080078e-01
2.385522538191257702e+00,-4.200000000000000000e+01,-1.679999999999999938e+00,7.842875123023986816e-01
2.402204513982804990e+00,-4.200000000000000000e+01,-1.679999999999999938e+00,7.823395729064941406e-01
2.418886489774352277e+00,-4.300000000000000000e+01,-1.719999999999999973e+00,7.803553342819213867e-01
2.435568465565899565e+00,-4.300000000000000000e+01,-1.719999999999999973e+00,7.779406905174255371e-01
2.452250441357446853e+00,-4.300000000000000000e+01,-1.719999999999999973e+00,7.773827314376831055e-01
2.468932417148994141e+00,-4.300000000000000000e+01,-1.719999999999999973e+00,7.768121361732482910e-01
2.485614392940541428e+00,-4.400000000000000000e+01,-1.760000000000000009e+00,7.791358828544616699e-01
2.502296368732088716e+00,-4.400000000000000000e+01,-1.760000000000000009e+00,7.788441777229309082e-01
2.518978344523635560e+00,-4.500000000000000000e+01,-1.800000000000000044e+00,7.788491845130920410e-01
2.535660320315182847e+00,-4.500000000000000000e+01,-1.800000000000000044e+00,7.787973284721374512e-01
2.552342296106730135e+00,-4.500000000000000000e+01,-1.800000000000000044e+00,7.830135226249694824e-01
2.569024271898277423e+00,-4.200000000000000000e+01,-1.679999999999999938e+00,7.851361632347106934e-01
2.585706247689824711e+00,-3.600000000000000000e+01,-1.439999999999999947e+00,7.836574912071228027e-01
2.602388223481371998e+00,-4.500000000000000000e+01,-1.800000000000000044e+00,7.856927514076232910e-01
